Time_min	Drawdown_m
386	24.785678
387	24.80001867
388	24.85738138
389	24.85239332
390	24.88232169
391	24.89354483
392	24.89603886
393	24.90539147
394	24.90975603
395	24.9234732
396	24.9396844
397	24.95776612
398	24.94654298
399	24.96026015
400	24.97148329
401	25.00827024
402	25.00827024
403	24.99891763
404	25.01076428
405	25.01325831
406	24.9721068
407	24.99517658
408	25.02011689
409	25.01575234
410	25.01076428
411	25.01076428
412	25.03882212
413	25.03383406
414	24.99704711
415	25.04318668
416	25.05939788
417	25.07311505
418	25.04755123
419	25.08433818
420	25.07062101
421	25.11177252
422	25.13047775
423	25.1261132
424	25.14668895
425	25.15354754
426	25.18098188
427	25.20841622
428	25.18784046
429	25.2152748
430	25.22026286
431	25.22712145
432	25.25206175
433	25.27762557
434	25.28635468
435	25.30256588
436	25.30942446
437	25.32812969
438	25.31690656
439	25.35556403
440	25.37364576
441	25.40357413
442	25.42414988
443	25.43786705
444	25.42664391
445	25.48151259
446	25.50458237
447	25.49772379
448	25.50208834
449	25.49710028
450	25.51081745
451	25.51081745
452	25.49460625
453	25.52702865
454	25.53575776
455	25.55009843
456	25.5476044
457	25.58626188
458	25.60247308
459	25.62554287
460	25.61619025
461	25.64113056
462	25.64362459
463	25.65734176
464	25.6853996
465	25.69225819
466	25.70348133
467	25.73715074
468	25.75149142
469	25.71470447
470	25.7496209
471	25.74899739
472	25.76520859
473	25.78141979
474	25.80386607
475	25.79264293
476	25.82007727
477	25.8063601
478	25.79950151
479	25.86372281
480	25.85935825
481	25.84314705
482	25.85686422
483	25.80199554
484	25.67604699
485	25.58688539
486	25.50894693
487	25.45407825
488	25.42913794
489	25.41105622
490	25.37177523
491	25.35119948
492	25.29446028
493	25.28074311
494	25.27513154
495	25.27263751
496	25.28199012
497	25.27139049
498	25.26889646
499	25.26640243
500	25.2801196
501	25.28510766
502	25.30568342
503	25.28697819
504	25.29196625
505	25.30755394
506	25.31690656
507	25.33997634
508	25.32127111
509	25.33062372
510	25.33311776
511	25.35119948
512	25.34932896
513	25.33748231
514	25.32625917
515	25.34932896
516	25.37426926
517	25.33997634
518	25.37364576
519	25.35556403
520	25.35369351
521	25.36055209
522	25.36741068
523	25.37863382
524	25.38112785
525	25.37676329
526	25.39484502
527	25.37239874
528	25.40482114
529	25.4179148
530	25.42477339
531	25.43163197
532	25.434126
533	25.45657228
534	25.42726742
535	25.44285511
536	25.46841893
537	25.47091296
538	25.48712416
